catalyst,temperature,compound,HC,nominal,O2_in,O2_out,NO_in,NO_out,NH3_in,NH3_out,NO2_in,NO2_out,N2O_in,N2O_out
Cu14SSZ1325,250,O2,None,2,2,2,408.6,377.2,345.9,317.7,0,3.7,0,1.5
Cu14SSZ1325,250,O2,None,4,4,4,408.5,382.8,346.1,318.4,0,3.6,0,1.7
Cu14SSZ1325,250,O2,None,6,6,6,415.8,389,352.3,323.9,0,4,0,1.9
Cu14SSZ1325,250,O2,None,9,9,9,422.6,395.6,358.1,327.2,0,3.9,0,1.7
Cu14SSZ1325,250,O2,None,10,10,10,430.8,401.4,363.2,330.5,0,3.9,0,1.8
Cu14SSZ1325,250,O2,None,12,12,12,437.7,407.8,369.6,335.6,0,3.8,0,1.8
Cu14SSZ1325,250,O2,None,20,20,20,471.9,436.7,395.8,356.8,0,3.7,0,1.8
Cu14SSZ1325,250,NO,C3,200,8,8,199.4,181.3,409.2,392.7,0,3.4,0,2.1
Cu14SSZ1325,250,NO,C3,300,8,8,302.4,280.5,408.4,382.5,0,2.9,0,1.8
Cu14SSZ1325,250,NO,C3,350,8,8,353.8,327.9,407.4,378.2,0,2.8,0,1.8
Cu14SSZ1325,250,NO,C3,400,8,8,401.2,375.1,407.8,376.1,0,2.3,0,1.4
Cu14SSZ1325,250,NO,C3,450,8,8,445.5,419.1,406.4,373,0,2.5,0,1.5
Cu14SSZ1325,250,NO,C3,500,8,8,492.1,464.6,405.8,368,0,1.8,0,0.9
Cu14SSZ1325,250,NO,C3,600,8,8,576.7,547.2,405,362.6,0,1.7,0,1
Cu14SSZ1325,250,NO,C12,200,8,8,210,194.8,398.7,381,0,2.8,0,0.7
Cu14SSZ1325,250,NO,C12,300,8,8,316.2,295.2,390.2,369.3,0,2.9,0,0.9
Cu14SSZ1325,250,NO,C12,350,8,8,370.3,345.9,392,368.3,0,3,0,1.1
Cu14SSZ1325,250,NO,C12,400,8,8,420.2,393.6,392.2,366.8,0,3,0,1.1
Cu14SSZ1325,250,NO,C12,450,8,8,466.8,439,391.8,367.4,0,2.5,0,1
Cu14SSZ1325,250,NO,C12,500,8,8,513.1,483.8,388,365.1,0,3,0,1.2
Cu14SSZ1325,250,NO,C12,550,8,8,602.8,568.8,387.7,365.4,0,2.5,0,1.4
Cu14SSZ1325,250,NH3,C3,200,8,8,403.5,374.1,192.3,148.8,0,2,0,1.1
Cu14SSZ1325,250,NH3,C3,300,8,8,403.5,373.8,329.5,258.2,0,2.7,0,1.1
Cu14SSZ1325,250,NH3,C3,350,8,8,405.4,374.7,344.6,310.6,0,2.2,0,0.8
Cu14SSZ1325,250,NH3,C3,400,8,8,404.2,373.4,395.3,359.2,0,1.6,0,0.8
Cu14SSZ1325,250,NH3,C3,450,8,8,403.2,373.7,439.2,404.1,0,1.5,0,0.8
Cu14SSZ1325,250,NH3,C3,500,8,8,404.1,375.3,483,446.9,0,2.7,0,1.3
Cu14SSZ1325,250,NH3,C3,600,8,8,402.8,375.3,559.1,526.5,0,3.6,0,1.7
Cu14SSZ1325,250,NH3,C12,200,8,8,422.1,391.4,160.2,128.7,0,2.1,0,1.2
Cu14SSZ1325,250,NH3,C12,300,8,8,421.3,392.5,273.3,244.8,0,2.2,0,1.3
Cu14SSZ1325,250,NH3,C12,350,8,8,422.1,393.3,328.2,297.9,0,1.9,0,1.2
Cu14SSZ1325,250,NH3,C12,400,8,8,421.5,394.5,381.4,350.1,0,2.1,0,1.3
Cu14SSZ1325,250,NH3,C12,450,8,8,421.6,394.7,430.6,396.5,0,2,0,1.1
Cu14SSZ1325,250,NH3,C12,500,8,8,421.8,394.8,472.9,443.3,0,2.4,0,1.3
Cu14SSZ1325,250,NH3,C12,550,8,8,422.4,392.8,519.6,486,0,2,0,1.1
Cu14SSZ1325,250,O2,C3,2,2,2,406.7,386,385.2,370.7,0,0.6,0,0.5
Cu14SSZ1325,250,O2,C3,4,4,4,405.4,379.6,386.2,359.5,0,0,0,0.1
Cu14SSZ1325,250,O2,C3,6,6,6,405.8,377.4,385.6,353,0,0.7,0,0.5
Cu14SSZ1325,250,O2,C3,9,9,9,405.5,374.9,384.8,347.3,0,2.6,0,1.4
Cu14SSZ1325,250,O2,C3,10,10,10,405.8,373.8,388,343.4,0,2.6,0,1.4
Cu14SSZ1325,250,O2,C3,12,12,12,405.3,372.8,388.7,341.6,0,3.5,0,1.8
Cu14SSZ1325,250,O2,C3,20,20,20,406.2,366.4,391.1,333.9,0,4.5,0,1.9
Cu14SSZ1325,250,O2,C12,2,2,2,419.2,402.1,344.2,291,0,2.3,0,0
Cu14SSZ1325,250,O2,C12,4,4,4,418.6,400.3,347.6,289.8,0,3.5,0,0
Cu14SSZ1325,250,O2,C12,6,6,6,418.7,399.8,348.8,294.4,0,4,0,0
Cu14SSZ1325,250,O2,C12,9,9,9,417.1,394.4,343.2,291.6,0,4.1,0,0
Cu14SSZ1325,250,O2,C12,10,10,10,417.1,392.5,335.7,296,0,3.7,0,0
Cu14SSZ1325,250,O2,C12,12,12,12,415.3,390.3,326.3,296.6,0,4.5,0,0.2
